text,class
24 + 61 = 107,False
56 + 61 = 117,True
30 + 39 = 69,True
44 + 64 = 108,True
75 + 51 = 126,True
21 + 81 = 119,False
62 + 22 = 27,False
16 + 68 = 120,False
21 + 47 = 23,False
30 + 84 = 58,False
18 + 20 = 38,True
79 + 58 = 153,False
16 + 85 = 57,False
51 + 13 = 164,False
36 + 23 = 95,False
22 + 51 = 73,True
86 + 66 = 152,True
77 + 85 = 162,True
66 + 44 = 110,True
99 + 27 = 126,True
89 + 63 = 81,False
70 + 52 = 122,True
24 + 21 = 128,False
79 + 50 = 153,False
41 + 52 = 193,False
60 + 92 = 104,False
82 + 78 = 160,True
61 + 77 = 33,False
94 + 76 = 170,True
51 + 78 = 129,True
93 + 14 = 30,False
89 + 12 = 101,True
31 + 99 = 130,True
80 + 85 = 96,False
12 + 15 = 27,True
18 + 38 = 131,False
38 + 75 = 171,False
26 + 19 = 82,False
43 + 20 = 54,False
72 + 73 = 145,True
87 + 34 = 67,False
68 + 57 = 134,False
27 + 96 = 70,False
84 + 82 = 166,True
10 + 70 = 80,True
69 + 79 = 148,True
76 + 79 = 157,False
48 + 26 = 178,False
22 + 93 = 38,False
89 + 28 = 61,False
39 + 38 = 77,True
62 + 40 = 193,False
29 + 29 = 183,False
83 + 50 = 60,False
86 + 94 = 48,False
71 + 62 = 69,False
20 + 39 = 59,True
69 + 33 = 102,True
58 + 87 = 124,False
47 + 26 = 101,False
34 + 42 = 93,False
17 + 60 = 77,True
73 + 14 = 148,False
94 + 15 = 29,False
49 + 60 = 100,False
24 + 22 = 120,False
84 + 39 = 123,True
46 + 50 = 33,False
54 + 31 = 190,False
68 + 85 = 153,True
89 + 75 = 164,True
95 + 90 = 170,False
67 + 93 = 28,False
59 + 19 = 78,True
88 + 17 = 45,False
11 + 55 = 112,False
19 + 41 = 194,False
89 + 13 = 102,True
55 + 89 = 144,True
84 + 84 = 38,False
91 + 20 = 111,True
70 + 53 = 61,False
28 + 83 = 106,False
80 + 52 = 103,False
43 + 26 = 34,False
65 + 26 = 91,True
35 + 53 = 88,True
60 + 75 = 135,True
70 + 72 = 142,True
24 + 47 = 48,False
48 + 12 = 60,True
48 + 25 = 117,False
31 + 20 = 45,False
59 + 30 = 89,True
54 + 30 = 84,True
27 + 49 = 110,False
33 + 21 = 110,False
65 + 92 = 157,True
27 + 59 = 180,False
68 + 22 = 23,False
