text,class
"This is a true classic starring Orson Wells in one of his best performances probably only surpassed by his classic ""Citizen Kane.",False
"""Clockwatchers"" is a very funny little film that sheds light on the frustrations of spending eight hours a day in an entirely unexceptional environment where every action has been reduced to routine.",False
I saw this movie as a motel movie shortly after vcr's became affordable/popular.,False
"Combining elements of drama and horror, Ring 0 is a very worthy installation of the indie horror franchise.",True
"Since childhood I've found the actors playing the bad guys more interesting than the main characters,at least till about 1970 or so.",True
Groucho are Carmen Miranda are Marvooolussss together.,False
"The movie was incredible, ever since I saw it in 1977 I told my wife she had to see it, it was really funny.",True
Nikita Taylor is not a good girl.,False
"Luc Besson has been behind some of the most provocative and intriguing action films of the last 15 years, and his introduction to mainstream American cinema-goers began with 1991's ""La Femme Nikita.",True
"If anyone wants to see what film acting is all about, watch Claudette Colbert's performance in this movie.",False
"This international collaborative effort between musicians, artists, performers, writers and philosophers, titled, '1 Giant Leap', palls in sections, then blows you away with the power of music and words: ""We want to show, through the diverse fragments of music, spoken word and imagery, that despite our surface level differences, the things that divide us are far outnumbered by the humanity which unites us.",True
"The film fleshes out the back story of the Ring trilogies' demon / troubled soul, Sadako, (played by Yukie Nakama), following her attempts to join an acting troupe and at the same time cope with her troubled psyche and the events of her mysterious past that still engulf her.",False
"As was noted by Cine Tiger, this excellent silent film was offered by Turner Classic Movies on their Sunday Night Silent feature.",False
I'm surprised how many people see this as a boring film that does nothing but chronicle the minutiae of modern-day office life.,False
"Ringu 0 fills in a few of the blanks in the Ringu series, like, for starters, why she was shunned and how she came to be in the well.",True
This excellent 1946 vehicle provides Orson Welles with a role that he is most sympathetic with.,True
"Loving ""Ginger Snaps"", a film which if you're like me felt left too many unanswered questions, coming into ""Ginger Snaps 2"" I was eager to see not only how they answered the unanswered questions, but seeing if they could keep the name Ginger Snaps still alive.",True
"What a powerful story! So powerful to me, at least, that I have only watched it one other time and have little desire to see it again.",False
1st watched 04/10/2007 - 7 out of 10(Dir-Jamie Catto & Duncan Bridgeman): Thought-provoking musical montage covering almost every important subject in life disguised as a full-length music video from artists around the world.,True
this movie must be re-released.,False
"Enjoyed this great classic film from 1946 starring Claudette Colbert as Elizabeth Hamilton who was a young woman very much in love with her husband, Orson Wells, (John MacDonald/Erik Kessler).",True
"Title: Ginger Snaps 2: Unleashed <br /><br />Director: Brett Sullivan <br /><br />Cast: Emily Perkins, Katherine Isabelle, Tatiana Maslany, Eric Johnson <br /><br />Tagline: It only dies if you do <br /><br />Review: After having enjoyed the first Ginger Snaps immensely I decided to check out the sequel which had the same to actresses who played sisters on the last film.",True
"I saw this on cable last night, just 2 days after seeing the Sprecher sisters' latest film, 13 Conversations About One Thing - that was the reason I stayed up til 2:30 a.",True
"1 GIANT LEAP play this video Director: Jamie Catto Director: Duncan Bridgeman<br /><br />It is increasingly rare to come across a project that genuinely defies description, where no pigeonhole will do.",True
The truth is that about 80% of the people who see (have seen) this movie won't like it.,True
"I watch ""Fire Sale"" at least 3-4 times a year and each time it gets better, very similar to ""Where's Poppa"", which also demands multiple viewings.",True
"One wishes for more for more talent in such a film! The actors looked like they're fresh from acting class! Amateurish! Come on, the filmmaker could have done better.",False
"Alan Arkin, Rob Reiner, Vincent Gardenia, Alex Rocco, Kay Medford, Sid Caeser and a 7 foot tall black teenager named Captain F*@% in the most Jewish movie ever made.",True
"A funny version of the classic comedy based on the 1978 foreign film extravaganza ""La Cage Aux Folles"" that was then made into a Tony Award winning musical in 1983 of the same title.",True
"I admit, the great majority of films released before say 1933 are just not for me.",True
"I am a die hard fan of the original Ginger Snaps, and this sequel is like having to use Windows 3.",True
"""Captain Salvation"" could have been a segment of ""Intolerance.",False
I won't bore you with the plot.,False
"In addition to being my absolute favorite CD last year, 1 Giant Leap is an extraordinary cinematic achievement.",True
"<br /><br />Ellen Barkin and Laurence Fishburne performed wonderful acting skills, their love scenes were electricity, and the plot kept me on the edge of my seat.",False
 after 16 minutes anyway.,True
"So just to recap the events of the original ""Ginger Snaps"" (SPOILERS!!!), Ginger and Brigette are sisters .",False
WWI newlyweds Claudette Colbert and Orson Welles meet heartbreak when he goes missing in action and is written off as dead.,False
"When I first saw this movie, I was around 9 or 10 years old.",True
I came upon 1 Giant Leap after looking up what films that Ram Dass has appeared in.,True
La Femme Nikita is one of the best action/thriller spy movies to come out in the 90's.,True
"On the brink of World War II, a man believed killed in World War I returns in ""Tomorrow is Forever,"" directed by Irving Pichel and starring Claudette Colbert, Orson Welles, George Brent, Richard Long, and Natalie Wood.",False
"The third movie produced by Howard Hughes, this gem was thought to be lost.",False
I had the good fortune of a teacher lending me this in high school.,False
This is one classic disaster movie from the late 1970's.,True
"Despite the movie's Harlequin-level romance novel title, the unlikely pairing of classic Hollywood leading lady Claudette Colbert and resident bad-boy Orson Welles actually works in this intriguing albeit far-fetched 1946 melodrama directed by the relatively undistinguished Irving Pichel.",True
"I have really enjoyed Deadwood, so much I bought the three seasons on DVD and I don't buy many DVDs.",False
This film takes you on a pseudo-sexual journey through the eyes and minds of several virile seniors.,False
"This was clearly written by someone who has gone through the mind numbing, soul snatching experience of being a temp.",False
"I liked Ringu 0 better than Rasen, it explained more about Sadako's history.",True
"Well well after the 2 first Ringu's that i enjoyed soooo much because of the scary screenplays, Ringu 0 brings us a very different prequel with this on, if you expect seeing as much scary scenes as in Ringu 1 and 2, then i hope you will read this first so at least you know that it won't, it is explains about all what you needed to know, with a end you already know but hehe it is a prequel so what else could it have been.",True
"""Clockwatchers"" surprised me in many ways.",False
"David Milch wrote DEADWOOD like nobody else writes anything: Dictated, open-source and interactive; just-in-time inventory created nearly on-the-spot so actors and crew could barely get it executed.",False
good Canadian movies are a hard jem to find ( as is any Canadian one) but this one is somewhat easier to find<br /><br />after watching the first one i immediately needed to view the second and i isn't a letdown in any way to its predecessor.,False
"Sharp, well-produced variation on the frequently filmed ""Enoch Arden"" plot.",False
"It is a rare event when I rate a movie on the level of a 10, but if I could, I would go even higher for this film.",True
"Chronologically situated between The World in his Arms and Blackbeard the Pirate, and a year after the fine adventure Distant Drums (1951), this is a Raoul Walsh minor but right western, play by soft Rock Hudson and beautiful Julie Adams.",True
Ring 0 is the Japanese prequel to the Ring Mythos.,True
I have yet to see the first Ginger snap or any other Ginger snaps movies in the series.,False
It's interesting to compare the hero's sacrifice in Tomorrow is Forever with the hero's in Casablanca.,False
Not overwhelmingly bad yet nothing all too great about this one either.,False
"POSSIBLE SPOILERS!!<br /><br />If you enjoy true atmosphere in films, that creeping feeling of dread usually reserved for coming face to face with your own personal phobia, then watch this and prepare yourself- the final 15 minutes may well be the most heart-stoppingly chilling 15 minutes you will ever witness.",True
"Watching this film was like reliving the jobs I had in my 20's - waiting for 5 o'clock, looking busy, trying to impress people who didn't give two hoots about you, and the dreams.",True
"The dazzling multistory ""Hard Times (Malas Temporadas)"" is clearly a masterpiece in foreign cinema.",False
Match 1: D'Lo Brown (c) vs Val Venis for the European Championship - Pretty decent opener.,True
No kid can take on twice his size.,False
