text,class
"A Luc Besson (Léon, The Fith Element, The Messenger: The Story of Joan of Arc.",False
I have been in search of childhood anime for awhile now.,False
"When the credits started for ""Clockwatchers"" - Toni Collette, Parker Posey and Lisa Kudrow - the senior citizens around me in the art house theater complained they hadn't heard of anybody.",False
I agree totally with the others.,False
Im a big fan of the western genre and so bias but that said Deadwood is the greatest thing since moving pictures were invented.,False
I'm another one who is waiting for the day this movie comes out on video.,True
"Nikita lived in my mind as an action movie with lots of blood, aggression, fear, all kinds of things I'm not very fond of to watch in a cinema.",False
"Though it's now been 24 years since I saw it, I still remember thinking that I should have walked out of the theater.",True
This is one classic disaster movie from the late 1970's.,True
"It's not the company you keep but the one you work for at issue here in this taut film about an ex-CIA agent who goes to work for a company that specializes in helping their corporate clients get the upper hand in any and all situations by any means necessary, but especially blackmail, as the central plot revolves around soborning a judge who has severely compromised his integrity by mounting up impressive gambling debts and extra-marital infidelity.",True
The performance of Ian McShane was unequalled in ANY category of film or stage.,False
A Concorde with a terrible paint job and a passenger list of half-wits begins to have trouble in the air.,False
"The plot of the film has been used in others in different ways, however one must acknowledge that acting of Orson Welles and Claudette Colbert added another quality to this drama.",True
"I found this accidentally on cable -- never heard of it before, somehow.",False
"Well well after the 2 first Ringu's that i enjoyed soooo much because of the scary screenplays, Ringu 0 brings us a very different prequel with this on, if you expect seeing as much scary scenes as in Ringu 1 and 2, then i hope you will read this first so at least you know that it won't, it is explains about all what you needed to know, with a end you already know but hehe it is a prequel so what else could it have been.",True
"This movie was absolutely the best werewolf movie ever made! It was so good, that, if I didn't have a short attention span, I would watch it back-to-back every day!<br /><br />First of all, the acting, once again, was superb.",False
Not overwhelmingly bad yet nothing all too great about this one either.,True
"After seeing Point of No Return (a great movie) and being told that the original was better, I was certainly thrilled to see that one of the indie film channels was running La Femme Nikita.",True
This man (mr.,False
"Like TWO ARABIAN KNIGHTS, a couple of American soldiers attempt the daring rescue of a Middle Eastern princess from a loveless betrothal.",False
"Like ""Six Feet Under"" and ""The Sopranos"" before it, Deadwood is emblematic of the fact that long form, done ""right,"" provides a far broader palette for art than dinky old ""cinema"" ever could.",False
"A funny version of the classic comedy based on the 1978 foreign film extravaganza ""La Cage Aux Folles"" that was then made into a Tony Award winning musical in 1983 of the same title.",True
"Until I watched this film many years ago I'd always associated foreign language films with more talky arty films, this showed that there are top quality action films made outside Hollywood too.",False
"Some of the earlier reviewers have called ""Clockwatchers"" dull, pointless and have asked why it was made.",False
"This is a true classic starring Orson Wells in one of his best performances probably only surpassed by his classic ""Citizen Kane.",True
"Blistering black comedy co-written by Jill Sprecher (who also directed) and Karen Sprecher, ""Clockwatchers"" gives us a suffocating office setting so vivid and real I half-expected my own co-workers to show up in it.",False
Stylish thriller? Hardly! This French action film from director Luc Besson is more confused and unsure about itself than anything else I have seen recently.,False
.,False
Could call this four actresses in search of a story.,True
