text,class
3 + 1 = 4,True
0 + 6 = 6,True
9 + 7 = 18,False
4 + 6 = 10,True
8 + 1 = 15,False
7 + 9 = 16,True
0 + 4 = 0,False
3 + 3 = 6,True
1 + 9 = 10,True
6 + 6 = 12,True
5 + 2 = 12,False
3 + 1 = 4,True
2 + 7 = 5,False
1 + 3 = 4,True
8 + 9 = 17,True
1 + 3 = 4,True
9 + 7 = 2,False
7 + 7 = 14,True
0 + 9 = 8,False
1 + 4 = 5,True
6 + 8 = 2,False
8 + 2 = 6,False
3 + 5 = 8,True
1 + 8 = 9,True
6 + 1 = 12,False
1 + 2 = 3,True
9 + 4 = 13,True
2 + 6 = 4,False
8 + 2 = 10,True
8 + 8 = 6,False
1 + 5 = 6,True
3 + 9 = 12,True
1 + 4 = 5,True
2 + 0 = 2,True
3 + 7 = 10,True
1 + 6 = 7,True
7 + 1 = 0,False
8 + 5 = 13,True
7 + 7 = 13,False
4 + 8 = 2,False
9 + 6 = 15,True
9 + 7 = 7,False
0 + 7 = 7,True
8 + 5 = 13,True
5 + 7 = 12,True
5 + 0 = 5,True
0 + 8 = 8,True
7 + 7 = 14,True
3 + 5 = 5,False
6 + 5 = 12,False
9 + 9 = 18,True
1 + 9 = 3,False
2 + 0 = 4,False
4 + 0 = 4,True
3 + 6 = 18,False
2 + 6 = 8,True
5 + 1 = 3,False
5 + 9 = 8,False
5 + 6 = 1,False
3 + 0 = 9,False
2 + 3 = 5,True
8 + 0 = 8,True
1 + 3 = 4,True
9 + 2 = 11,True
4 + 7 = 11,True
9 + 6 = 15,True
5 + 1 = 17,False
1 + 7 = 8,True
1 + 1 = 2,True
8 + 9 = 0,False
2 + 7 = 9,True
6 + 2 = 8,True
4 + 4 = 8,True
2 + 9 = 11,True
1 + 6 = 4,False
1 + 5 = 0,False
4 + 2 = 15,False
8 + 7 = 16,False
8 + 2 = 10,True
3 + 9 = 11,False
4 + 9 = 13,True
4 + 4 = 3,False
4 + 5 = 9,True
0 + 0 = 0,True
4 + 0 = 15,False
5 + 9 = 9,False
4 + 9 = 13,True
6 + 4 = 7,False
7 + 5 = 8,False
4 + 7 = 0,False
9 + 8 = 17,True
3 + 1 = 15,False
1 + 7 = 8,True
0 + 5 = 5,True
0 + 4 = 7,False
4 + 0 = 4,True
6 + 3 = 9,True
7 + 8 = 1,False
6 + 1 = 3,False
9 + 1 = 10,True
